count,command,pushing_to_server_required
29786,Removed session,no
29787,Removed session,no
29788,"apparmor=""DENIED""",yes
29789,The SSH agent was already initialized,no
29790,Removed session,no
29791,Changed attributes:,yes
29792,"apparmor=""DENIED""",yes
29793,Registered Authentication Agent,yes
29794,session closed,no
29795,is owned by root and has written permissions to anyone,yes
29796,Accepted password for root from ,yes
29797,"apparmor=""DENIED""",yes
29798,Registered Authentication Agent,yes
29799,Changed attributes:,yes
29800,Removed session,no
29801,"apparmor=""DENIED""",yes
29802,Accepted password for root from ,yes
29803,session closed,no
29804,USER=root ; COMMAND=,yes
29805,Accepted password for root from ,yes
29806,Removed session,no
29807,Registered Authentication Agent,yes
29808,Registered Authentication Agent,yes
29809,Removed session,no
29810,Registered Authentication Agent,yes
29811,session opened,yes
29812,is owned by root and has written permissions to anyone,yes
29813,session opened,yes
29814,USER=root ; COMMAND=,yes
29815,The Secret Service was already initialized,yes
29816,is owned by root and has written permissions to anyone,yes
29817,"apparmor=""DENIED""",yes
29818,Accepted password for root from ,yes
29819,"apparmor=""DENIED""",yes
29820,session opened,yes
29821,USER=root ; COMMAND=,yes
29822,Registered Authentication Agent,yes
29823,USER=root ; COMMAND=,yes
29824,Changed attributes:,yes
29825,Removed session,no
29826,Changed attributes:,yes
29827,Removed session,no
29828,USER=root ; COMMAND=,yes
29829,Registered Authentication Agent,yes
29830,The Secret Service was already initialized,yes
29831,"apparmor=""DENIED""",yes
29832,Changed attributes:,yes
29833,is owned by root and has written permissions to anyone,yes
29834,Accepted password for root from ,yes
29835,is owned by root and has written permissions to anyone,yes
29836,Removed session,no
29837,is owned by root and has written permissions to anyone,yes
29838,Changed attributes:,yes
29839,Registered Authentication Agent,yes
29840,session opened,yes
29841,session opened,yes
29842,is owned by root and has written permissions to anyone,yes
29843,Changed attributes:,yes
29844,session opened,yes
29845,USER=root ; COMMAND=,yes
29846,"apparmor=""DENIED""",yes
29847,"apparmor=""DENIED""",yes
29848,Removed session,no
29849,session opened,yes
29850,"apparmor=""DENIED""",yes
29851,Accepted password for root from ,yes
29852,Changed attributes:,yes
29853,session closed,no
29854,Changed attributes:,yes
29855,Removed session,no
29856,Removed session,no
29857,Accepted password for root from ,yes
29858,session closed,no
29859,Removed session,no
29860,"apparmor=""DENIED""",yes
29861,session opened,yes
29862,session opened,yes
29863,Removed session,no
29864,Removed session,no
29865,Changed attributes:,yes
29866,is owned by root and has written permissions to anyone,yes
29867,Changed attributes:,yes
29868,Removed session,no
29869,Registered Authentication Agent,yes
29870,"apparmor=""DENIED""",yes
29871,Accepted password for root from ,yes
29872,Changed attributes:,yes
29873,session opened,yes
29874,Changed attributes:,yes
29875,Registered Authentication Agent,yes
29876,Removed session,no
29877,Changed attributes:,yes
29878,session opened,yes
29879,"apparmor=""DENIED""",yes
29880,Removed session,no
29881,Registered Authentication Agent,yes
29882,The SSH agent was already initialized,no
29883,Removed session,no
29884,Removed session,no
29885,Removed session,no
29886,The SSH agent was already initialized,no
29887,The Secret Service was already initialized,yes
29888,Accepted password for root from ,yes
29889,Removed session,no
29890,session closed,no
29891,"apparmor=""DENIED""",yes
29892,Removed session,no
29893,The Secret Service was already initialized,yes
29894,"apparmor=""DENIED""",yes
29895,Changed attributes:,yes
29896,Removed session,no
29897,USER=root ; COMMAND=,yes
29898,Changed attributes:,yes
29899,Removed session,no
29900,session closed,no
29901,USER=root ; COMMAND=,yes
29902,Accepted password for root from ,yes
29903,is owned by root and has written permissions to anyone,yes
29904,USER=root ; COMMAND=,yes
29905,is owned by root and has written permissions to anyone,yes
29906,USER=root ; COMMAND=,yes
29907,session opened,yes
29908,The Secret Service was already initialized,yes
29909,Removed session,no
29910,Removed session,no
29911,session opened,yes
29912,Changed attributes:,yes
29913,"apparmor=""DENIED""",yes
29914,USER=root ; COMMAND=,yes
29915,Accepted password for root from ,yes
29916,session opened,yes
29917,Registered Authentication Agent,yes
29918,Changed attributes:,yes
29919,The Secret Service was already initialized,yes
29920,"apparmor=""DENIED""",yes
29921,is owned by root and has written permissions to anyone,yes
29922,Removed session,no
29923,Removed session,no
29924,session opened,yes
29925,session opened,yes
29926,"apparmor=""DENIED""",yes
29927,Registered Authentication Agent,yes
29928,session opened,yes
29929,session opened,yes
29930,session closed,no
29931,Registered Authentication Agent,yes
29932,Removed session,no
29933,session closed,no
29934,session opened,yes
29935,USER=root ; COMMAND=,yes
29936,session opened,yes
29937,Accepted password for root from ,yes
29938,Registered Authentication Agent,yes
29939,"apparmor=""DENIED""",yes
29940,Accepted password for root from ,yes
29941,Removed session,no
29942,Registered Authentication Agent,yes
29943,Changed attributes:,yes
29944,USER=root ; COMMAND=,yes
29945,USER=root ; COMMAND=,yes
29946,The SSH agent was already initialized,no
29947,"apparmor=""DENIED""",yes
29948,Accepted password for root from ,yes
29949,Accepted password for root from ,yes
29950,Registered Authentication Agent,yes
29951,"apparmor=""DENIED""",yes
29952,Removed session,no
29953,session opened,yes
29954,session opened,yes
29955,Changed attributes:,yes
29956,is owned by root and has written permissions to anyone,yes
29957,Registered Authentication Agent,yes
29958,The Secret Service was already initialized,yes
29959,The Secret Service was already initialized,yes
29960,Accepted password for root from ,yes
29961,session opened,yes
29962,Changed attributes:,yes
29963,Accepted password for root from ,yes
29964,"apparmor=""DENIED""",yes
29965,Changed attributes:,yes
29966,Accepted password for root from ,yes
29967,Changed attributes:,yes
29968,The SSH agent was already initialized,no
29969,USER=root ; COMMAND=,yes
29970,session opened,yes
29971,Accepted password for root from ,yes
29972,session closed,no
29973,Accepted password for root from ,yes
29974,"apparmor=""DENIED""",yes
29975,Changed attributes:,yes
29976,Removed session,no
29977,session closed,no
29978,"apparmor=""DENIED""",yes
29979,is owned by root and has written permissions to anyone,yes
29980,session opened,yes
29981,The SSH agent was already initialized,no
29982,is owned by root and has written permissions to anyone,yes
29983,Accepted password for root from ,yes
29984,"apparmor=""DENIED""",yes
29985,session opened,yes
29986,session opened,yes
29987,The Secret Service was already initialized,yes
29988,session opened,yes
29989,Changed attributes:,yes
29990,USER=root ; COMMAND=,yes
29991,Removed session,no
29992,Accepted password for root from ,yes
29993,session opened,yes
29994,"apparmor=""DENIED""",yes
29995,Removed session,no
29996,is owned by root and has written permissions to anyone,yes
29997,Changed attributes:,yes
29998,"apparmor=""DENIED""",yes
29999,Removed session,no
30000,"apparmor=""DENIED""",yes
30001,Accepted password for root from ,yes
30002,Removed session,no
30003,Accepted password for root from ,yes
30004,session closed,no
30005,session opened,yes
30006,The Secret Service was already initialized,yes
30007,Registered Authentication Agent,yes
30008,The SSH agent was already initialized,no
30009,Changed attributes:,yes
30010,session opened,yes
30011,is owned by root and has written permissions to anyone,yes
30012,Changed attributes:,yes
30013,The Secret Service was already initialized,yes
30014,session closed,no
30015,session closed,no
30016,USER=root ; COMMAND=,yes
30017,is owned by root and has written permissions to anyone,yes
30018,"apparmor=""DENIED""",yes
30019,"apparmor=""DENIED""",yes
30020,session opened,yes
30021,The Secret Service was already initialized,yes
30022,Accepted password for root from ,yes
30023,session opened,yes
30024,Accepted password for root from ,yes
30025,Changed attributes:,yes
30026,"apparmor=""DENIED""",yes
30027,Accepted password for root from ,yes
30028,The Secret Service was already initialized,yes
30029,session opened,yes
30030,The SSH agent was already initialized,no
30031,Removed session,no
30032,session closed,no
30033,is owned by root and has written permissions to anyone,yes
30034,Removed session,no
30035,session opened,yes
30036,Removed session,no
30037,Changed attributes:,yes
30038,session opened,yes
30039,Changed attributes:,yes
30040,is owned by root and has written permissions to anyone,yes
30041,Changed attributes:,yes
30042,Removed session,no
30043,session opened,yes
30044,Changed attributes:,yes
30045,session opened,yes
30046,Removed session,no
30047,Removed session,no
30048,session closed,no
30049,is owned by root and has written permissions to anyone,yes
30050,"apparmor=""DENIED""",yes
30051,The SSH agent was already initialized,no
30052,session opened,yes
30053,Removed session,no
30054,Changed attributes:,yes
30055,Removed session,no
30056,session opened,yes
30057,is owned by root and has written permissions to anyone,yes
30058,Removed session,no
30059,Accepted password for root from ,yes
30060,Removed session,no
30061,Accepted password for root from ,yes
30062,is owned by root and has written permissions to anyone,yes
30063,"apparmor=""DENIED""",yes
30064,Registered Authentication Agent,yes
30065,Removed session,no
30066,USER=root ; COMMAND=,yes
30067,session opened,yes
30068,Accepted password for root from ,yes
30069,Removed session,no
30070,USER=root ; COMMAND=,yes
30071,"apparmor=""DENIED""",yes
30072,Accepted password for root from ,yes
30073,The Secret Service was already initialized,yes
30074,USER=root ; COMMAND=,yes
30075,Removed session,no
30076,is owned by root and has written permissions to anyone,yes
30077,"apparmor=""DENIED""",yes
30078,session opened,yes
30079,"apparmor=""DENIED""",yes
30080,is owned by root and has written permissions to anyone,yes
30081,"apparmor=""DENIED""",yes
30082,Accepted password for root from ,yes
30083,Changed attributes:,yes
30084,Changed attributes:,yes
30085,session opened,yes
30086,"apparmor=""DENIED""",yes
30087,is owned by root and has written permissions to anyone,yes
30088,The Secret Service was already initialized,yes
30089,Removed session,no
30090,Removed session,no
30091,Registered Authentication Agent,yes
30092,"apparmor=""DENIED""",yes
30093,Removed session,no
30094,Removed session,no
30095,Removed session,no
30096,Removed session,no
30097,Accepted password for root from ,yes
30098,Removed session,no
30099,Removed session,no
30100,Accepted password for root from ,yes
30101,session opened,yes
30102,Removed session,no
30103,"apparmor=""DENIED""",yes
30104,Accepted password for root from ,yes
30105,Changed attributes:,yes
30106,"apparmor=""DENIED""",yes
30107,Changed attributes:,yes
30108,session closed,no
30109,Removed session,no
30110,Registered Authentication Agent,yes
30111,session closed,no
30112,Removed session,no
30113,Changed attributes:,yes
30114,Registered Authentication Agent,yes
30115,session opened,yes
30116,USER=root ; COMMAND=,yes
30117,is owned by root and has written permissions to anyone,yes
30118,The Secret Service was already initialized,yes
30119,session opened,yes
30120,session closed,no
30121,Registered Authentication Agent,yes
30122,Accepted password for root from ,yes
30123,Accepted password for root from ,yes
30124,"apparmor=""DENIED""",yes
30125,USER=root ; COMMAND=,yes
30126,The Secret Service was already initialized,yes
30127,Changed attributes:,yes
30128,"apparmor=""DENIED""",yes
30129,Accepted password for root from ,yes
30130,"apparmor=""DENIED""",yes
30131,session opened,yes
30132,Accepted password for root from ,yes
30133,Changed attributes:,yes
30134,is owned by root and has written permissions to anyone,yes
30135,session opened,yes
30136,Changed attributes:,yes
30137,The SSH agent was already initialized,no
30138,Accepted password for root from ,yes
30139,Accepted password for root from ,yes
30140,Removed session,no
30141,The Secret Service was already initialized,yes
30142,is owned by root and has written permissions to anyone,yes
30143,session opened,yes
30144,session opened,yes
30145,Accepted password for root from ,yes
30146,Registered Authentication Agent,yes
30147,session closed,no
30148,USER=root ; COMMAND=,yes
30149,session closed,no
30150,session closed,no
30151,Registered Authentication Agent,yes
30152,Removed session,no
30153,USER=root ; COMMAND=,yes
30154,Changed attributes:,yes
30155,"apparmor=""DENIED""",yes
30156,"apparmor=""DENIED""",yes
30157,The Secret Service was already initialized,yes
30158,Accepted password for root from ,yes
30159,session closed,no
30160,Changed attributes:,yes
30161,Registered Authentication Agent,yes
30162,session opened,yes
30163,USER=root ; COMMAND=,yes
30164,is owned by root and has written permissions to anyone,yes
30165,"apparmor=""DENIED""",yes
30166,The SSH agent was already initialized,no
30167,session opened,yes
30168,Changed attributes:,yes
30169,The SSH agent was already initialized,no
30170,is owned by root and has written permissions to anyone,yes
30171,Accepted password for root from ,yes
30172,session opened,yes
30173,session opened,yes
30174,Accepted password for root from ,yes
30175,session closed,no
30176,session opened,yes
30177,is owned by root and has written permissions to anyone,yes
30178,Registered Authentication Agent,yes
30179,The Secret Service was already initialized,yes
30180,Changed attributes:,yes
30181,Removed session,no
30182,session closed,no
30183,"apparmor=""DENIED""",yes
30184,"apparmor=""DENIED""",yes
30185,Changed attributes:,yes
30186,Registered Authentication Agent,yes
30187,The SSH agent was already initialized,no
30188,Removed session,no
30189,Removed session,no
30190,is owned by root and has written permissions to anyone,yes
30191,session opened,yes
30192,The Secret Service was already initialized,yes
30193,Removed session,no
30194,The Secret Service was already initialized,yes
30195,Accepted password for root from ,yes
30196,session opened,yes
30197,Removed session,no
30198,Registered Authentication Agent,yes
30199,"apparmor=""DENIED""",yes
30200,session opened,yes
30201,Accepted password for root from ,yes
30202,USER=root ; COMMAND=,yes
30203,USER=root ; COMMAND=,yes
30204,Accepted password for root from ,yes
30205,Accepted password for root from ,yes
30206,USER=root ; COMMAND=,yes
30207,The SSH agent was already initialized,no
30208,is owned by root and has written permissions to anyone,yes
30209,session closed,no
30210,"apparmor=""DENIED""",yes
30211,The SSH agent was already initialized,no
30212,"apparmor=""DENIED""",yes
30213,Registered Authentication Agent,yes
30214,The SSH agent was already initialized,no
30215,"apparmor=""DENIED""",yes
30216,is owned by root and has written permissions to anyone,yes
30217,The SSH agent was already initialized,no
30218,Accepted password for root from ,yes
30219,Registered Authentication Agent,yes
30220,The Secret Service was already initialized,yes
30221,The Secret Service was already initialized,yes
30222,session closed,no
30223,Changed attributes:,yes
30224,session opened,yes
30225,Registered Authentication Agent,yes
30226,The SSH agent was already initialized,no
30227,session opened,yes
30228,session closed,no
30229,session opened,yes
30230,The SSH agent was already initialized,no
30231,USER=root ; COMMAND=,yes
30232,Changed attributes:,yes
30233,session closed,no
30234,Changed attributes:,yes
30235,Changed attributes:,yes
30236,Changed attributes:,yes
30237,"apparmor=""DENIED""",yes
30238,Accepted password for root from ,yes
30239,Removed session,no
30240,session opened,yes
30241,The SSH agent was already initialized,no
30242,Changed attributes:,yes
30243,"apparmor=""DENIED""",yes
30244,session opened,yes
30245,is owned by root and has written permissions to anyone,yes
30246,session opened,yes
30247,is owned by root and has written permissions to anyone,yes
30248,Removed session,no
30249,is owned by root and has written permissions to anyone,yes
30250,"apparmor=""DENIED""",yes
30251,is owned by root and has written permissions to anyone,yes
30252,Changed attributes:,yes
30253,Accepted password for root from ,yes
30254,session closed,no
30255,session opened,yes
30256,"apparmor=""DENIED""",yes
30257,Accepted password for root from ,yes
30258,Removed session,no
30259,USER=root ; COMMAND=,yes
30260,session opened,yes
30261,Accepted password for root from ,yes
30262,"apparmor=""DENIED""",yes
30263,Registered Authentication Agent,yes
30264,"apparmor=""DENIED""",yes
30265,is owned by root and has written permissions to anyone,yes
30266,The Secret Service was already initialized,yes
30267,"apparmor=""DENIED""",yes
30268,Removed session,no
30269,"apparmor=""DENIED""",yes
30270,The SSH agent was already initialized,no
30271,Registered Authentication Agent,yes
30272,Removed session,no
30273,The Secret Service was already initialized,yes
30274,Accepted password for root from ,yes
30275,session opened,yes
30276,"apparmor=""DENIED""",yes
30277,Changed attributes:,yes
30278,Registered Authentication Agent,yes
30279,Removed session,no
30280,"apparmor=""DENIED""",yes
30281,Changed attributes:,yes
30282,Removed session,no
30283,session opened,yes
30284,"apparmor=""DENIED""",yes
30285,is owned by root and has written permissions to anyone,yes
30286,Removed session,no
30287,USER=root ; COMMAND=,yes
30288,Registered Authentication Agent,yes
30289,USER=root ; COMMAND=,yes
30290,Changed attributes:,yes
30291,session opened,yes
30292,The Secret Service was already initialized,yes
30293,"apparmor=""DENIED""",yes
30294,Accepted password for root from ,yes
30295,Accepted password for root from ,yes
30296,"apparmor=""DENIED""",yes
30297,session closed,no
30298,Registered Authentication Agent,yes
30299,The Secret Service was already initialized,yes
30300,session closed,no
30301,session opened,yes
30302,session opened,yes
30303,The Secret Service was already initialized,yes
30304,is owned by root and has written permissions to anyone,yes
30305,"apparmor=""DENIED""",yes
30306,session opened,yes
30307,"apparmor=""DENIED""",yes
30308,session opened,yes
30309,is owned by root and has written permissions to anyone,yes
30310,Removed session,no
30311,Changed attributes:,yes
30312,Registered Authentication Agent,yes
30313,session opened,yes
30314,Accepted password for root from ,yes
30315,Registered Authentication Agent,yes
30316,Changed attributes:,yes
30317,Changed attributes:,yes
30318,Registered Authentication Agent,yes
30319,Removed session,no
30320,session opened,yes
30321,Removed session,no
30322,Changed attributes:,yes
30323,"apparmor=""DENIED""",yes
30324,The Secret Service was already initialized,yes
30325,session closed,no
30326,session closed,no
30327,The SSH agent was already initialized,no
30328,Removed session,no
30329,Accepted password for root from ,yes
30330,Changed attributes:,yes
30331,session closed,no
30332,session opened,yes
30333,Registered Authentication Agent,yes
30334,Changed attributes:,yes
30335,The Secret Service was already initialized,yes
30336,Accepted password for root from ,yes
30337,session opened,yes
30338,Accepted password for root from ,yes
30339,Accepted password for root from ,yes
30340,Registered Authentication Agent,yes
30341,Accepted password for root from ,yes
30342,session closed,no
30343,is owned by root and has written permissions to anyone,yes
30344,The SSH agent was already initialized,no
30345,Changed attributes:,yes
30346,"apparmor=""DENIED""",yes
30347,The SSH agent was already initialized,no
30348,Removed session,no
30349,The SSH agent was already initialized,no
30350,USER=root ; COMMAND=,yes
30351,The SSH agent was already initialized,no
30352,session closed,no
30353,Removed session,no
30354,Accepted password for root from ,yes
30355,The SSH agent was already initialized,no
30356,Removed session,no
30357,"apparmor=""DENIED""",yes
30358,Registered Authentication Agent,yes
30359,session closed,no
30360,Accepted password for root from ,yes
30361,The Secret Service was already initialized,yes
30362,"apparmor=""DENIED""",yes
30363,Removed session,no
30364,USER=root ; COMMAND=,yes
30365,"apparmor=""DENIED""",yes
30366,Accepted password for root from ,yes
30367,session opened,yes
30368,Removed session,no
30369,Removed session,no
30370,session closed,no
30371,The Secret Service was already initialized,yes
30372,Registered Authentication Agent,yes
30373,Removed session,no
30374,session opened,yes
30375,"apparmor=""DENIED""",yes
30376,Changed attributes:,yes
30377,is owned by root and has written permissions to anyone,yes
30378,The Secret Service was already initialized,yes
30379,Removed session,no
30380,Accepted password for root from ,yes
30381,Changed attributes:,yes
30382,"apparmor=""DENIED""",yes
30383,The Secret Service was already initialized,yes
30384,Changed attributes:,yes
30385,"apparmor=""DENIED""",yes
30386,session opened,yes
30387,Removed session,no
30388,session opened,yes
30389,Accepted password for root from ,yes
30390,Changed attributes:,yes
30391,is owned by root and has written permissions to anyone,yes
30392,Accepted password for root from ,yes
30393,The SSH agent was already initialized,no
30394,The SSH agent was already initialized,no
30395,session closed,no
30396,The SSH agent was already initialized,no
30397,Removed session,no
30398,session opened,yes
30399,"apparmor=""DENIED""",yes
30400,session closed,no
30401,Accepted password for root from ,yes
30402,Removed session,no
30403,The Secret Service was already initialized,yes
30404,session closed,no
30405,session closed,no
30406,session opened,yes
30407,USER=root ; COMMAND=,yes
30408,Removed session,no
30409,is owned by root and has written permissions to anyone,yes
30410,Accepted password for root from ,yes
30411,"apparmor=""DENIED""",yes
30412,Accepted password for root from ,yes
30413,Accepted password for root from ,yes
30414,The Secret Service was already initialized,yes
30415,Removed session,no
30416,session opened,yes
30417,Registered Authentication Agent,yes
30418,Registered Authentication Agent,yes
30419,Changed attributes:,yes
30420,is owned by root and has written permissions to anyone,yes
30421,Changed attributes:,yes
30422,Accepted password for root from ,yes
30423,Changed attributes:,yes
30424,session closed,no
30425,Removed session,no
30426,Accepted password for root from ,yes
30427,Changed attributes:,yes
30428,Removed session,no
30429,session opened,yes
30430,Accepted password for root from ,yes
30431,Changed attributes:,yes
30432,session opened,yes
30433,session closed,no
30434,is owned by root and has written permissions to anyone,yes
30435,is owned by root and has written permissions to anyone,yes
30436,session opened,yes
30437,The Secret Service was already initialized,yes
30438,USER=root ; COMMAND=,yes
30439,The SSH agent was already initialized,no
30440,Removed session,no
30441,USER=root ; COMMAND=,yes
30442,session closed,no
30443,Accepted password for root from ,yes
30444,is owned by root and has written permissions to anyone,yes
30445,"apparmor=""DENIED""",yes
30446,Changed attributes:,yes
30447,Accepted password for root from ,yes
30448,Changed attributes:,yes
30449,Accepted password for root from ,yes
30450,session opened,yes
30451,Removed session,no
30452,session opened,yes
30453,Changed attributes:,yes
30454,USER=root ; COMMAND=,yes
30455,Removed session,no
30456,session closed,no
30457,"apparmor=""DENIED""",yes
30458,The SSH agent was already initialized,no
30459,The SSH agent was already initialized,no
30460,session opened,yes
30461,session opened,yes
30462,The SSH agent was already initialized,no
30463,Accepted password for root from ,yes
30464,session closed,no
30465,USER=root ; COMMAND=,yes
30466,"apparmor=""DENIED""",yes
30467,"apparmor=""DENIED""",yes
30468,Removed session,no
30469,The Secret Service was already initialized,yes
30470,The SSH agent was already initialized,no
30471,Changed attributes:,yes
30472,Accepted password for root from ,yes
30473,Accepted password for root from ,yes
30474,Accepted password for root from ,yes
30475,Changed attributes:,yes
30476,Accepted password for root from ,yes
30477,session closed,no
30478,session opened,yes
30479,USER=root ; COMMAND=,yes
30480,USER=root ; COMMAND=,yes
30481,Accepted password for root from ,yes
30482,session closed,no
30483,The Secret Service was already initialized,yes
30484,session opened,yes
30485,session closed,no
30486,session opened,yes
30487,The Secret Service was already initialized,yes
30488,Removed session,no
30489,The Secret Service was already initialized,yes
30490,session opened,yes
30491,The SSH agent was already initialized,no
30492,The Secret Service was already initialized,yes
30493,The Secret Service was already initialized,yes
30494,Accepted password for root from ,yes
30495,Accepted password for root from ,yes
30496,Accepted password for root from ,yes
30497,Accepted password for root from ,yes
30498,The SSH agent was already initialized,no
30499,The SSH agent was already initialized,no
30500,Removed session,no
30501,session opened,yes
30502,USER=root ; COMMAND=,yes
30503,Changed attributes:,yes
30504,session opened,yes
30505,Removed session,no
30506,Accepted password for root from ,yes
30507,Accepted password for root from ,yes
30508,USER=root ; COMMAND=,yes
30509,"apparmor=""DENIED""",yes
30510,"apparmor=""DENIED""",yes
30511,The Secret Service was already initialized,yes
30512,Removed session,no
30513,"apparmor=""DENIED""",yes
30514,Changed attributes:,yes
30515,session opened,yes
30516,Registered Authentication Agent,yes
30517,Changed attributes:,yes
30518,Removed session,no
30519,session closed,no
30520,"apparmor=""DENIED""",yes
30521,Accepted password for root from ,yes
30522,"apparmor=""DENIED""",yes
30523,Removed session,no
30524,Registered Authentication Agent,yes
30525,session closed,no
30526,USER=root ; COMMAND=,yes
30527,Accepted password for root from ,yes
30528,Removed session,no
30529,The SSH agent was already initialized,no
30530,Changed attributes:,yes
30531,Accepted password for root from ,yes
30532,session opened,yes
30533,"apparmor=""DENIED""",yes
30534,is owned by root and has written permissions to anyone,yes
30535,Changed attributes:,yes
30536,session closed,no
30537,session opened,yes
30538,session opened,yes
30539,session opened,yes
30540,session opened,yes
30541,session opened,yes
30542,The SSH agent was already initialized,no
30543,Registered Authentication Agent,yes
30544,Registered Authentication Agent,yes
30545,"apparmor=""DENIED""",yes
30546,The SSH agent was already initialized,no
30547,is owned by root and has written permissions to anyone,yes
30548,Registered Authentication Agent,yes
30549,USER=root ; COMMAND=,yes
30550,session closed,no
30551,session opened,yes
30552,Accepted password for root from ,yes
30553,session closed,no
30554,Accepted password for root from ,yes
30555,session opened,yes
30556,Changed attributes:,yes
30557,"apparmor=""DENIED""",yes
30558,"apparmor=""DENIED""",yes
30559,Registered Authentication Agent,yes
30560,Removed session,no
30561,session opened,yes
30562,session opened,yes
30563,USER=root ; COMMAND=,yes
30564,Removed session,no
30565,Registered Authentication Agent,yes
30566,"apparmor=""DENIED""",yes
30567,Accepted password for root from ,yes
30568,"apparmor=""DENIED""",yes
30569,session opened,yes
30570,The SSH agent was already initialized,no
30571,Removed session,no
30572,Removed session,no
30573,Removed session,no
30574,Registered Authentication Agent,yes
30575,Registered Authentication Agent,yes
30576,The SSH agent was already initialized,no
30577,Registered Authentication Agent,yes
30578,session opened,yes
30579,"apparmor=""DENIED""",yes
30580,session closed,no
30581,Removed session,no
30582,Accepted password for root from ,yes
30583,session closed,no
30584,The SSH agent was already initialized,no
30585,USER=root ; COMMAND=,yes
30586,The SSH agent was already initialized,no
30587,"apparmor=""DENIED""",yes
30588,Accepted password for root from ,yes
30589,Accepted password for root from ,yes
30590,Removed session,no
30591,"apparmor=""DENIED""",yes
30592,Changed attributes:,yes
30593,session opened,yes
30594,"apparmor=""DENIED""",yes
30595,is owned by root and has written permissions to anyone,yes
30596,The SSH agent was already initialized,no
30597,USER=root ; COMMAND=,yes
30598,Accepted password for root from ,yes
30599,session opened,yes
30600,USER=root ; COMMAND=,yes
30601,Registered Authentication Agent,yes
30602,Registered Authentication Agent,yes
30603,Registered Authentication Agent,yes
30604,Changed attributes:,yes
30605,Accepted password for root from ,yes
30606,Changed attributes:,yes
30607,The Secret Service was already initialized,yes
30608,The SSH agent was already initialized,no
30609,Accepted password for root from ,yes
30610,USER=root ; COMMAND=,yes
30611,"apparmor=""DENIED""",yes
30612,USER=root ; COMMAND=,yes
30613,"apparmor=""DENIED""",yes
30614,The SSH agent was already initialized,no
30615,USER=root ; COMMAND=,yes
30616,Changed attributes:,yes
30617,USER=root ; COMMAND=,yes
30618,is owned by root and has written permissions to anyone,yes
30619,Registered Authentication Agent,yes
30620,is owned by root and has written permissions to anyone,yes
30621,USER=root ; COMMAND=,yes
30622,session closed,no
30623,Removed session,no
30624,Accepted password for root from ,yes
30625,Removed session,no
30626,The SSH agent was already initialized,no
30627,Removed session,no
30628,Changed attributes:,yes
30629,The SSH agent was already initialized,no
30630,is owned by root and has written permissions to anyone,yes
30631,Removed session,no
30632,Changed attributes:,yes
30633,Accepted password for root from ,yes
30634,The SSH agent was already initialized,no
30635,Registered Authentication Agent,yes
30636,USER=root ; COMMAND=,yes
30637,Accepted password for root from ,yes
30638,session opened,yes
30639,session opened,yes
30640,session closed,no
30641,session opened,yes
30642,session closed,no
30643,Changed attributes:,yes
30644,session opened,yes
30645,"apparmor=""DENIED""",yes
30646,is owned by root and has written permissions to anyone,yes
30647,is owned by root and has written permissions to anyone,yes
30648,USER=root ; COMMAND=,yes
30649,Accepted password for root from ,yes
30650,Removed session,no
30651,is owned by root and has written permissions to anyone,yes
30652,Registered Authentication Agent,yes
30653,Removed session,no
30654,Changed attributes:,yes
30655,"apparmor=""DENIED""",yes
30656,"apparmor=""DENIED""",yes
30657,"apparmor=""DENIED""",yes
30658,session opened,yes
30659,USER=root ; COMMAND=,yes
30660,"apparmor=""DENIED""",yes
30661,The Secret Service was already initialized,yes
30662,Removed session,no
30663,session opened,yes
30664,"apparmor=""DENIED""",yes
30665,USER=root ; COMMAND=,yes
30666,Changed attributes:,yes
30667,Changed attributes:,yes
30668,Removed session,no
30669,Accepted password for root from ,yes
30670,Changed attributes:,yes
30671,"apparmor=""DENIED""",yes
30672,Accepted password for root from ,yes
30673,session opened,yes
30674,The SSH agent was already initialized,no
30675,Removed session,no
30676,Accepted password for root from ,yes
30677,Changed attributes:,yes
30678,"apparmor=""DENIED""",yes
30679,"apparmor=""DENIED""",yes
30680,Removed session,no
30681,session closed,no
30682,"apparmor=""DENIED""",yes
30683,Accepted password for root from ,yes
30684,The Secret Service was already initialized,yes
30685,Removed session,no
30686,Removed session,no
30687,is owned by root and has written permissions to anyone,yes
30688,Removed session,no
30689,Removed session,no
30690,"apparmor=""DENIED""",yes
30691,Changed attributes:,yes
30692,"apparmor=""DENIED""",yes
30693,session opened,yes
30694,Changed attributes:,yes
30695,"apparmor=""DENIED""",yes
30696,"apparmor=""DENIED""",yes
30697,Accepted password for root from ,yes
30698,Changed attributes:,yes
30699,"apparmor=""DENIED""",yes
30700,Registered Authentication Agent,yes
30701,session opened,yes
30702,is owned by root and has written permissions to anyone,yes
30703,"apparmor=""DENIED""",yes
30704,Changed attributes:,yes
30705,The Secret Service was already initialized,yes
30706,"apparmor=""DENIED""",yes
30707,Removed session,no
30708,USER=root ; COMMAND=,yes
30709,Removed session,no
30710,session closed,no
30711,Changed attributes:,yes
30712,session closed,no
30713,Changed attributes:,yes
30714,"apparmor=""DENIED""",yes
30715,Removed session,no
30716,Registered Authentication Agent,yes
30717,Removed session,no
30718,The SSH agent was already initialized,no
30719,Changed attributes:,yes
30720,session closed,no
30721,Accepted password for root from ,yes
30722,"apparmor=""DENIED""",yes
30723,USER=root ; COMMAND=,yes
30724,is owned by root and has written permissions to anyone,yes
